ZIP_CODE,POPULATION,SQUARE_MILES,POPULATION_DENSITY,UNEMPLOYMENT
10065,32270.0,0.382,84476.43979,5
10069,5199.0,0.094,55308.51064,6
10453,78309.0,0.916,85490.17467,21
11230,86408.0,1.84,46960.86957,8
10457,70496.0,1.061,66442.97832,15
10456,86547.0,1.018,85016.69941,16
11231,33336.0,1.422,23443.03797,8
10458,79492.0,1.009,78782.95342,13
11232,28265.0,1.285,21996.10895,11
11233,67053.0,1.348,49742.5816,12
11385,98592.0,3.613,27288.12621,8
11234,87757.0,7.546,11629.60509,8
10016,54183.0,0.532,101847.7444,5
11237,49896.0,0.98,50914.28571,6
10282,4783.0,0.069,69318.84058,2
10280,7853.0,0.124,63330.64516,3
11109,3523.0,0.04,88075.0,7
10452,75371.0,0.989,76209.30233,14
11375,68733.0,1.98,34713.63636,6
11374,43600.0,0.938,46481.87633,9
11377,89830.0,2.543,35324.41998,7
11101,25484.0,2.613,9752.774589,12
11106,38875.0,0.857,45361.72695,10
11370,39688.0,1.457,27239.53329,11
11104,27232.0,0.389,70005.14139,6
11372,66636.0,0.737,90415.19674,8
11102,34133.0,0.808,42243.81188,9
11103,38780.0,0.711,54542.89733,9
10027,59707.0,0.869,68707.71001,8
11229,80018.0,2.159,37062.52895,8
10040,41905.0,0.379,110567.2823,16
11228,41788.0,1.47,28427.21088,8
11201,51128.0,1.424,35904.49438,7
11203,76174.0,2.146,35495.80615,12
10128,60453.0,0.465,130006.4516,6
11205,40366.0,0.949,42535.30032,10
11204,78134.0,1.589,49171.80617,9
11207,93386.0,2.671,34962.93523,15
11206,81677.0,1.434,56957.46165,12
11209,68853.0,2.162,31846.90102,8
11208,94469.0,3.442,27445.96165,8
11105,36688.0,1.632,22480.39216,8
11225,56829.0,0.884,64286.1991,16
11368,109931.0,2.632,41767.09726,7
11223,78731.0,2.074,37960.94503,9
11365,42252.0,2.497,16921.10533,9
11360,18884.0,1.437,13141.26653,8
11222,36934.0,1.524,24234.90814,6
11220,99598.0,1.791,55610.27359,10
11212,84500.0,1.538,54941.48244,15
11213,63767.0,1.091,58448.21265,10
11210,62008.0,1.641,37786.71542,9
11211,90117.0,2.298,39215.4047,6
11216,54316.0,0.935,58091.97861,9
10038,20300.0,0.3,67666.66667,5
11214,88630.0,2.185,40562.92906,8
11215,63488.0,2.178,29149.6786,6
10035,33969.0,1.417,23972.47706,14
10034,38908.0,1.089,35728.191,13
11218,75220.0,1.427,52711.98318,7
10036,24711.0,0.441,56034.01361,10
10031,56438.0,0.649,86961.4792,9
10030,26999.0,0.279,96770.60932,14
10033,53926.0,0.598,90177.25753,13
10032,57331.0,0.656,87394.81707,16
11358,37546.0,1.949,19264.23807,9
11357,39150.0,2.801,13977.15102,10
11355,85871.0,1.739,49379.52846,10
11354,54878.0,2.167,25324.41163,10
10039,24527.0,0.438,55997.71689,21
11217,35881.0,0.751,47777.62983,8
10037,17416.0,0.257,67766.53696,15
10028,45141.0,0.313,144220.4473,5
10029,76003.0,0.812,93599.75369,13
10026,34003.0,0.332,102418.6747,10
11226,101572.0,1.289,78799.06905,12
10024,59283.0,0.858,69094.40559,5
10025,94600.0,0.752,125797.8723,7
10022,31924.0,0.428,74588.78505,5
10023,60998.0,0.491,124232.1792,6
11221,78895.0,1.383,57046.27621,14
10021,43631.0,0.379,115121.372,3
11219,92221.0,1.482,62227.39541,8
11238,49262.0,1.106,44540.68716,10
10019,42870.0,0.687,62401.74672,7
10018,5229.0,0.322,16239.13043,5
10013,27700.0,0.55,50363.63636,6
10012,24090.0,0.323,74582.04334,6
10011,50984.0,0.661,77131.61876,7
10010,31834.0,0.39,81625.64103,8
10017,16575.0,0.317,52287.06625,5
11235,79132.0,2.246,35232.41318,7
11236,93877.0,3.595,26113.2128,8
10014,31959.0,0.55,58107.27273,7
11432,60809.0,2.149,28296.41694,11
11435,53687.0,1.515,35436.9637,13
10004,3089.0,0.56,5516.071429,9
10005,7135.0,0.071,100492.9577,6
10006,3011.0,0.092,32728.26087,9
10007,6988.0,0.162,43135.80247,5
10001,21102.0,0.614,34368.07818,9
10002,81410.0,0.878,92722.09567,10
10003,56024.0,0.576,97263.88889,7
10009,61347.0,0.617,99427.87682,7
10471,22922.0,2.57,8919.066148,7
10473,58519.0,2.179,26855.8972,8
10472,66358.0,1.052,63077.94677,12
11249,0,0,0,0
10075,26121.0,0.184,141961.9565,5
10466,67813.0,2.015,33654.09429,11
10467,97060.0,2.34,41478.63248,13
10462,75784.0,1.473,51448.74406,7
10463,67970.0,1.449,46908.21256,10
10461,50502.0,2.397,21068.83605,10
10468,76103.0,1.07,71124.29907,15
11415,19341.0,0.568,34051.05634,9
11418,36256.0,1.633,22202.08206,11
11367,41047.0,2.376,17275.6734,10
11373,100820.0,1.524,66154.85564,7
